company_name,company_url_eemis,company_location_companies_page,company_country_companies_page,company_phone_companies_page,company_calendar,logo_link,license_no,start_date_company_page_DDMMYYYY,expiry_date_company_page_DDMMYYYY,company_address_company_page,company_country_company_page,company_phone_company_page,company_email_company_page,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,job_posted_date,job_deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date_MMDDYYYY,company_phone_jobs_page,company_address_country_job_page,active_job,job_start_date_MMDDYYYY,job_end_date_MMDDYYYY,job_salary_currency_job_page,usd_conversion,job_salary_amount_job_page,latitude_company_location_companies_page,longitude_company_location_companies_page,city_company_location_companies_page,country_company_location_companies_page,latitude_company_location_company_page,longitude_company_location_company_page,city_company_location_company_page,country_company_location_company_page,latitude_map,longitude_map,job_length_days,job_length_years
RS RECRUITMENT SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/RSRECRUITMENTSERVICESLIMITED_144150,LUMUMBA AVENUE,,+256-783-303333,"20 Jan, 2023 - 19 Apr, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_155_1674816344.jpg,E23010023,20/1/2023,19/4/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-783-303333 , rsrecruitment24@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3229205,32.5762246,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3229205,32.5762246,,
RUKN EDEM RECRUITMENT,https://eemis.mglsd.go.ug/companies/RUKNEDEMRECRUITMENT_25659744,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-555-164117,"06 Dec, 2023 - 06 Dec, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2068_1694342634.jpeg,SA23120004,06/12/2023,06/12/2025,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-555-164117 , ruknadem@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
RUNTOWN AGENCIES LIMITED,https://eemis.mglsd.go.ug/companies/RUNTOWNAGENCIESLIMITED_768984,"KABOWA, NYANAMA Road",NYANAMA Road,+256-702-769754,"22 Mar, 2024 - 21 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_358_1553681988.jpg,E24030009,22/3/2024,21/3/2026,"Kampala, Uganda ",Uganda , +256-702-769754 , info.runtownagenciesltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2740794,32.5630311,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2740794,32.5630311,,
S.A INTEGRATED STAFFING SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/SAINTEGRATEDSTAFFINGSERVICESLIMITED_9121734,105409,,+256-759-666066,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1233_1649250704.jpeg,E24110001,04/11/2024,03/11/2026,"Kampala, Uganda ",Uganda , +256-759-666066 , s.a.staffing.services.ltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
SAED INTERNATIONAL COMPANY,https://eemis.mglsd.go.ug/companies/SAEDINTERNATIONALCOMPANY_4073856,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-566-586418,"06 Dec, 2023 - 06 Dec, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_824_1662969401.png,SA001,06/12/2023,06/12/2025,Saudi Arabia ,Saudi Arabia , +966-566-586418 , info@saed.sa ,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.885942,45.079162,,Saudi Arabia,24.7169626,46.7115929,,
SAFIR ALRYADAH RECRUITMENT,https://eemis.mglsd.go.ug/companies/SAFIRALRYADAHRECRUITMENT_32994150,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-533-894555,"Nov 30, 2024 - Nov 29, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2345_1731998084.jpeg,SA24110038,30/11/2024,29/11/2026,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-533-894555 , safiralryadh@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
SAHAM RECRUITMENT,https://eemis.mglsd.go.ug/companies/Sahamrecruitment_21568896,Hafar albatin,,+966-593-388872,"09 Nov, 2023 - 09 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1896_1665957400.jpg,SA23110004,09/11/2023,09/11/2025,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-593-388872 , qatoot@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,28.3784149,45.9627113,Eastern Province,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,28.3784149,45.9627113,,
SAHARA RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/SAHARARECRUITMENTAGENCYLIMITED_415014,BUWATE,,+256-785-100396,"11 Jan, 2024 - 10 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_263_1693566488.jpg,E24010006,11/1/2024,10/1/2026,"KAMPALA, Kampala, Uganda ",Uganda , +256-785-100396 , sahararecruitmentagencyltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.4050592,32.6192672,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.4050592,32.6192672,,
SALATA COMPANY FOR MEALS,https://eemis.mglsd.go.ug/companies/SalataCompanyforMeals_28201344,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-570-616000,"18 Jan, 2024 - 18 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2168_1701172348.jpeg,SA24010015,18/1/2024,18/1/2026,"Eastern Province, Saudi Arabia ",Saudi Arabia , +966-570-616000 , HR@agholding.com.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
SALEM INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/SALEMINTERNATIONALLIMITED_14248086,26413 KAMPALA,,+256-782-361898,"13 Sep, 2024 - 12 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1541_1654340607.jpg,E24090015,13/9/2024,12/9/2026,"Kampala, Uganda ",Uganda , +256-782-361898 , salemjd2022@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
SAMA AL RIYADH FOR RECRUITMENT,https://eemis.mglsd.go.ug/companies/SAMAALRIYADHFORRECRUITMENT_6303750,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-502-252899,"20 Nov, 2023 - 20 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1025_1641292806.jpeg,SA23110012,20/11/2023,20/11/2025,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-502-252899 , sama.alriyadh9@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
SAMA ALKHALEAJ RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/SamaAlkhaleajRecruitmentOffice_32377974,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-505-854186,"Oct 23, 2024 - Oct 23, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2323_1728251687.jpg,SA24100012,23/10/2024,23/10/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-505-854186 , ghanem888@hotmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
SAMAM SPECIAL SECURITY SERVICES WLL,https://eemis.mglsd.go.ug/companies/SAMAMSPECIALSECURITYSERVICESWLL_24240600,"Office Villa Building 15, Umm Lekhba, Near Landmark Mall,  Al Duhail,",,+974-044-146655,"23 Apr, 2023 - 23 Apr, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2010_1678097694.png,QA23040016,23/4/2023,23/4/2025,"Doha, Qatar ",Qatar , +974-044-146655 , samamsec256@gmail.com ,True,,,,,,,,,,,,,,,,,Qatar,False,,,,0.0,0.0,25.3476971,51.4674975,Doha Municipality,Qatar,25.2854473,51.53103979999999,Doha,Qatar,25.3476971,51.4674975,,
SARACEN UGANDA LTD,https://eemis.mglsd.go.ug/companies/SARACENUGANDALTD_6,Plot 245 Kansanga Gaba road,,+256-759-200449,"30 Aug, 2023 - 29 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1_1612951359.png,E23080018,30/8/2023,29/8/2025,"Kampala, Uganda ",Uganda , +256-759-200449 , externaldocuments@saracen.co.ug ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.285693,32.6080475,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.285693,32.6080475,,
SAUDI HOUSE,https://eemis.mglsd.go.ug/companies/saudihouse_31822854,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-507-800911,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2303_1723546338.jpeg,SA24090001,02/9/2024,01/9/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-507-800911 , info@saudihouse-r.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
SAVIOURS INTERNATIONAL AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/SAVIOURSINTERNATIONALAGENCYLIMITED_80736,Plot 2567,,+256-781-157792,"23 Mar, 2023 - 22 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_116_1608473804.jpeg,E23030004,23/3/2023,22/3/2025,Uganda ,Uganda , +256-781-157792 , savioursinternational2017@gmail.com ,True,DOMESTIC WORKER,./jobs?id=4101,Saudi Arabia,"23 Aug, 2021 - 23 Aug, 2023","Deadline : 12 Sep, 2027",SAR 900,https://eemis.mglsd.go.ug/jobs?id=4101,domestic worker,SAVIOURS INTERNATIONAL AGENCY LIMITED,Saudi Arabia,SAR 900,Domestic Worker,Cleaning and dusting the house.,Cleaning and dusting the house.,23/3/2023,+256-781-157792,,False,2021-08-23,2023-08-23,SAR,240.0,900.0,,,,,1.373333,32.290275,,Uganda,1.373333,32.290275,730.0,2.0
SEC GULF SECURITY SERVICES,https://eemis.mglsd.go.ug/companies/SECGULFSECURITYSERVICES_20049504,"SAHEEL TOWER 2, OFFICE NO.303-AL NAHDA 1-DUBAI",,+971-564-658475,"01 Feb, 2023 - 01 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1828_1668674118.jpg,AE23020001,01/2/2023,01/2/2025,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-564-658475 , hr@applemanpower.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,25.2858567,55.3605523,Al Nahda,United Arab Emirates,25.2048493,55.2707828,Dubai,United Arab Emirates,25.2858567,55.3605523,,
SECURITY LINK LIMITED,https://eemis.mglsd.go.ug/companies/SECURITYLINKLIMITED_24576,"PLOT 537 MUTESA 1 ROAD,BULANGE",BULANGE,+256-759-985584,"10 Aug, 2023 - 09 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_64_1684932868.jpg,E23080003,10/8/2023,09/8/2025,"Kampala, Uganda ",Uganda , +256-759-985584 , securitylinkug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3088809,32.553436,Rubaga Division,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3088809,32.553436,,
SEMARABIA RECRUITMENT AND HR SOLUTIONS LTD,https://eemis.mglsd.go.ug/companies/SEMARABIARECRUITMENTANDHRSOLUTIONSLTD_4416984,MAKINDYE SSABAGABO NAZZIBA,,+256-703-215000,"12 Oct, 2023 - 11 Oct, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_858_1689057832.jpeg,E23100006,12/10/2023,11/10/2025,"Wakiso, Uganda ",Uganda , +256-703-215000 , semaarabia326@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2300117,32.5571899,Wakiso,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.2300117,32.5571899,,
SENAD RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/SenadRecruitmentOffice_32127576,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-533-350761,"21 Oct, 2024 - 21 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2314_1726311230.jpg,SA24100010,21/10/2024,21/10/2026,"Makkah, Saudi Arabia ",Saudi Arabia , +966-533-350761 , senad.labor@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,21.4240968,39.81733639999999,Makkah,Saudi Arabia,24.7169626,46.7115929,,
SERENE RECRUITMENT LTD,https://eemis.mglsd.go.ug/companies/SERENERECRUITMENTLTD_4551846,"Mulungu Village Munyonyo,",,+256-707-555004,"26 Jun, 2024 - 25 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_871_1646909164.jpeg,E24060020,26/6/2024,25/6/2026,"Kampala, Uganda ",Uganda , +256-707-555004 , serenerecruitmentltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2406666,32.6197968,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2406666,32.6197968,,
SERVEU INTERNATIONAL RECRUITING AGENCY,https://eemis.mglsd.go.ug/companies/SERVEUINTERNATIONALRECRUITINGAGENCY_4056,WANDEGEYA,,+256-757-052339,"18 Dec, 2024 - 17 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_26_1673437570.jpg,E24120019,18/12/2024,17/12/2026,"Kampala, Uganda ",Uganda , +256-757-052339 , serveuinternational80@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3337535,32.5683826,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3337535,32.5683826,,
SEVILLE PRODUCTS LLC BR,https://eemis.mglsd.go.ug/companies/SevilleProductsLLCBr_33022296,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971-504-562216,"Dec 12, 2024 - Dec 12, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2346_1732007712.jpg,AE24120013,12/12/2024,12/12/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-504-562216 , nadkhan@iffco.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
SHADA NAJD RECRUIMENT OFFICE,https://eemis.mglsd.go.ug/companies/shadanajdrecruimentoffice_21138774,Murabaa district,,+966-505-160005,"14 May, 2023 - 14 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1877_1670952855.jpg,SA1032,14/5/2023,14/5/2025,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-505-160005 , shadanajd2040@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
SHAIYUM INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/SHAIYUMINTERNATIONALLTD_16295424,+256-785-102957,,+256-785-102957,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1648_1666063810.jpeg,E23010013,20/1/2023,19/1/2025,"Kampala, Uganda ",Uganda , +256-785-102957 , shaiyuminternationalltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
SHANKAR TRADING COMPANY LLC,https://eemis.mglsd.go.ug/companies/SHANKARTRADINGCOMPANYLLC_33078624,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971-555-015120,"Dec 09, 2024 - Dec 09, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2348_1732528284.png,AE24120009,09/12/2024,09/12/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971-555-015120 , adronabirungi3@gmail.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
SHARJA LABOUR INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/SHARJALABOURINTERNATIONALLTD_23026086,BWEYOGERERE  KITO ROAD,,+256-773-466668,"14 Mar, 2024 - 13 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1959_1702143812.jpg,E24030003,14/3/2024,13/3/2026,"UGANDA, Wakiso, Uganda ",Uganda , +256-773-466668 , sharjalabour@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.348194,32.6617141,Wakiso,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.348194,32.6617141,,
SHUKRAN HABIB CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/SHUKRANHABIBCONSULTANTSLTD_185856,"LWEZA, ENTEBBE ROAD, OPPOSITE NWSC OFFICES",OPPOSITE NWSC OFFICES,+256-702-000206,"25 Nov, 2024 - 24 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_176_1599640447.jpg,E24110030,25/11/2024,24/11/2026,"KAMPALA, Wakiso, Uganda ",Uganda , +256-702-000206 , shukranhabibconsultants@gmail.com ,True,HOUSEMAIDS,./jobs?id=5841,Saudi Arabia,"29 Jun, 2023 - 28 Jun, 2025","Deadline : 18 Jun, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=5841,housemaid,SHUKRAN HABIB CONSULTANTS LTD,Saudi Arabia,SAR 900,Domestic Worker,HOUSEMAIDS NEEDED,HOUSEMAIDS NEEDED,25/11/2024,+256-702-000206,Uganda,False,2023-06-29,2025-06-28,SAR,240.0,900.0,0.3101275,32.5801303,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3101275,32.5801303,730.0,2.0
SIBANGA CONSULTS LIMITED,https://eemis.mglsd.go.ug/companies/SIBANGACONSULTSLIMITED_1464216,14600 KAMPALA,,+256-780-953978,"28 Feb, 2024 - 27 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_494_1702388337.jpg,E24020023,28/2/2024,27/2/2026,"Wakiso, Uganda ",Uganda , +256-780-953978 , sibangaconsults82@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.3151692,32.5816313,,
SIDQ RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/SIDQRECRUITMENTCOMPANY_20668416,KING ABDU AL AZIZ ROAD,,+966-545-557605,"15 Jul, 2023 - 15 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1856_1667991716.jpg,SA1042,15/7/2023,15/7/2025,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-545-557605 , REC@SIDQ.SA ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
SKYNET CONSULTANTS INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/SKYNETCONSULTANTSINTERNATIONALLIMITED_384054,"41 Nkrumah Rd, Kampala, Uganda",Uganda,+256-702-469517,"20 Sep, 2023 - 19 Sep, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_253_1692009733.jpg,E23090013,20/9/2023,19/9/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-702-469517 , skynetconsultug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2832365,32.59985,Makindye Division,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2832365,32.59985,,
SKYZ LIMITED,https://eemis.mglsd.go.ug/companies/SKYZLIMITED_974454,"NTINDA, MARTYRS GARDEN ROAD A,  NEAR UNEB", NEAR UNEB,+256773449691,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_403_1646137929.jpeg,E24040013,29/4/2024,28/4/2026,"Kampala, Uganda ",Uganda , +256773449691 , Skyzltd1@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3530019,32.6179209,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3530019,32.6179209,,
SMART ARROWS RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/SmartArrowsRecruitmentOffice_20579424,SAEED BIN ZAYD,,+966-538-950873,"21 Sep, 2023 - 21 Sep, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1852_1695036078.jpg,SA23090014,21/9/2023,21/9/2025,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-538-950873 , mubarak@bcgroup-sa.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
SMILE JOBS CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/SMILEJOBSCONSULTANTSLTD_4304454,BUSEGA,,+256782868614,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_847_1648120952.jpeg,E24040020,29/4/2024,28/4/2026,"Kampala, Uganda ",Uganda , +256782868614 , smilejobsconsultants@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.311096,32.5217164,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.311096,32.5217164,,
"SOC, LLC",https://eemis.mglsd.go.ug/companies/SOCLLC_27349350,"WXRR+VQ Lusail West, Qatar",Qatar,+___-___-______,"17 Oct, 2024 - 17 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2135_1700072661.jpg,QA24100006,17/10/2024,17/10/2026,"Doha, Qatar ",Qatar , +___-___-______ , WPSDohaALSS@soc-usa.com ,True,,,,,,,,,,,,,,,,,Qatar,False,,,,0.0,0.0,24.9421875,50.9919375,Zone 96,Qatar,25.2854473,51.53103979999999,Doha,Qatar,24.9421875,50.9919375,,
SOVRAN RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/SOVRANRECRUITMENTAGENCYLIMITED_5200566,71481 KAMPALA,,+256-200-919335,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_931_1651002557.png,E24080007,08/8/2024,07/8/2026,"Kampala, Uganda ",Uganda , +256-200-919335 , eliotainomugisha@yahoo.co.uk ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
SOWICKS RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/SOWICKSRECRUITMENTAGENCYLTD_884736,MAKINDYE,,+256773970246,"26 Feb, 2023 - 25 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_384_1669194626.jpeg,E23020020,26/2/2023,25/2/2025,"Kampala, Uganda ",Uganda , +256773970246 , sowicksrecruitmentagencyltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2728351,32.6174919,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2728351,32.6174919,,
SPARK LABOUR AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/SPARKLABOURAGENCYLIMITED_1743126,LUNGUJJA  MAKAMBA ROAD,,+256-786-691694,"04 Apr, 2023 - 03 Apr, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_539_1670836018.jpeg,E23040010,04/4/2023,03/4/2025,"Kampala, Uganda ",Uganda , +256-786-691694 , sparklabouragency@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3096493,32.5471441,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3096493,32.5471441,,
SPARK SECURITY SERVICE SOLE PROPRIETORSHIP LLC,https://eemis.mglsd.go.ug/companies/SPARKSECURITYSERVICESOLEPROPRIETORSHIPLLC_25461600,"ABDULLA AL MULLA BLDG 39, FLOOR 1&2, AL NAHYAN CAMP, ABU DHABI, UAE",UAE,+971-012-666113,"15 Aug, 2023 - 15 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2060_1691394777.png,AE23080012,15/8/2023,15/8/2025,"Abu Zaby, United Arab Emirates ",United Arab Emirates , +971-012-666113 , sparksecservices8@gmail.com ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.466192,54.3815117,Abu Dhabi Region,United Arab Emirates,24.453884,54.3773438,Abu Dhabi,United Arab Emirates,24.466192,54.3815117,,
SPHERE RECRUITMENT LTD,https://eemis.mglsd.go.ug/companies/SPHERERECRUITMENTLTD_4541400,104009 Kampala,,+256-707-555008,"26 Aug, 2024 - 25 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_870_1652780914.jpeg,E24080043,26/8/2024,25/8/2026,"Kampala, Uganda ",Uganda , +256-707-555008 , sphererecruitmentltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
SPIN LABOUR CONSULTANTS LIMITED,https://eemis.mglsd.go.ug/companies/SPINLABOURCONSULTANTSLIMITED_252150,"PLOT 1098, OFF KABAKA ANJAGALA ROAD",OFF KABAKA ANJAGALA ROAD,+256-702-222288,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_205_1583251032.jpg,E24110015,18/11/2024,17/11/2026,"Kampala, Uganda ",Uganda , +256-702-222288 , spinconsults@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3050223,32.5632012,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3050223,32.5632012,,
